Year,Service,Category,Count,Percentage
2020,NordVPN,Regulatory Compliance,0,0.00%
2020,NordVPN,Legal Threat,0,0.00%
2020,NordVPN,Account Action,0,0.00%
2020,NordVPN,Privacy/Security,0,0.00%
2020,NordVPN,Security Risk,0,0.00%
2020,NordVPN,Legitimate Portability,0,0.00%
2020,NordVPN,User Workaround,0,0.00%
2020,NordVPN,General Terms,0,0.00%
2021,Microsoft,Technical Blocking,0,0.00%
2021,Microsoft,Price Discrimination,0,0.00%
2021,Microsoft,Content Licensing,1,0.09%
2021,Microsoft,Regulatory Compliance,11,0.99%
2021,Microsoft,Legal Threat,7,0.63%
2021,Microsoft,Account Action,0,0.00%
2021,Microsoft,Privacy/Security,1,0.09%
2021,Microsoft,Security Risk,3,0.27%
2021,Microsoft,Legitimate Portability,0,0.00%
2021,Microsoft,User Workaround,0,0.00%
2021,Microsoft,General Terms,1091,97.94%
2021,Youtube Premium,Technical Blocking,0,0.00%
2021,Youtube Premium,Price Discrimination,0,0.00%
2021,Youtube Premium,Content Licensing,0,0.00%
2021,Youtube Premium,Regulatory Compliance,3,3.49%
2021,Youtube Premium,Legal Threat,0,0.00%
2021,Youtube Premium,Account Action,0,0.00%
2021,Youtube Premium,Privacy/Security,0,0.00%
2021,Youtube Premium,Security Risk,0,0.00%
2021,Youtube Premium,Legitimate Portability,0,0.00%
2021,Youtube Premium,User Workaround,0,0.00%
2021,Youtube Premium,General Terms,83,96.51%
2021,Spotify,Technical Blocking,0,0.00%
2021,Spotify,Price Discrimination,4,0.65%
2021,Spotify,Content Licensing,13,2.10%
2021,Spotify,Regulatory Compliance,8,1.29%
2021,Spotify,Legal Threat,0,0.00%
2021,Spotify,Account Action,0,0.00%
2021,Spotify,Privacy/Security,0,0.00%
2021,Spotify,Security Risk,0,0.00%
2021,Spotify,Legitimate Portability,0,0.00%
2021,Spotify,User Workaround,0,0.00%
2021,Spotify,General Terms,593,95.95%
2021,Adobe,Technical Blocking,0,0.00%
2021,Adobe,Price Discrimination,1,0.21%
2021,Adobe,Content Licensing,0,0.00%
2021,Adobe,Regulatory Compliance,6,1.24%
2021,Adobe,Legal Threat,0,0.00%
2021,Adobe,Account Action,0,0.00%
2021,Adobe,Privacy/Security,0,0.00%
2021,Adobe,Security Risk,0,0.00%
2021,Adobe,Legitimate Portability,0,0.00%
2021,Adobe,User Workaround,0,0.00%
